"Date","Title","Artist","Peak_Position","Broad_Genre","Energy","Tempo","Danceability","Year","Rank","Valence","Rank_Group"
"4/29/17","Don't Wanna Know","maroon 5",6,"Pop","0.62","100.025","0.776",2017,46,"0.427","1 - 10"
"4/29/17","Fake Love","drake",8,"Rap","0.488","133.987","0.927",2017,38,"0.605","1 - 10"
"4/29/17","Play That Song","train",41,"Rap","0.825","98.959","0.392",2017,70,"0.482","26-50"
"4/29/17","How Far I'll Go","alessia cara",56,"Pop","0.563","179.484","0.315",2017,98,"0.147","51-75"
"4/29/17","Think A Little Less","michael ray",54,"Country","0.805","141.967","0.521",2017,90,"0.527","51-75"
"4/29/17","Road Less Traveled","lauren alaina",67,"Country","0.88","112.996","0.615",2017,77,"0.307","51-75"
"4/29/17","Draco","future",46,"Rap","0.456","130.014","0.804",2017,83,"0.165","26-50"
"4/29/17","Free Smoke","drake",18,"Rap","0.492","141.953","0.617",2017,72,"0.208","11 - 25"
"4/29/17","Blem","drake",38,"Rap","0.548","98.017","0.724",2017,84,"0.392","26-50"
"4/29/17","Teenage Fever","drake",35,"Rap","0.282","97.043","0.768",2017,91,"0.175","26-50"
"4/29/17","The One","the chainsmokers",78,"EDM","0.303","99.991","0.76",2017,78,"0.15","76-100"
"4/29/17","Bar At The End Of The World","kenny chesney",92,"Country","0.8","100.035","0.529",2017,92,"0.687","76-100"
"4/22/17","Bad Things","machine gun kelly",4,"Rap","0.694","137.847","0.677",2017,50,"0.287","1 - 10"
"4/22/17","Water Under The Bridge","adele",26,"Pop","0.838","94.982","0.596",2017,47,"0.472","26-50"
"4/22/17","Million Reasons","lady gaga",4,"Pop","0.424","129.911","0.665",2017,41,"0.134","1 - 10"
"4/22/17","Sacrifices","drake",36,"Rap","0.432","139.028","0.903",2017,89,"0.555","26-50"
"4/22/17","Speak To A Girl","tim mcgraw",61,"Country","0.504","151.719","0.466",2017,70,"0.222","51-75"
"4/22/17","The Heart Part 4","kendrick lamar",22,"Rap","0.434","129.209","0.672",2017,85,"0.54","11 - 25"
"4/22/17","Tin Man","miranda lambert",75,"Country","0.372","79.456","0.425",2017,75,"0.292","51-75"
"4/22/17","Conscience","kodak black",93,"Rap","0.693","159.972","0.666",2017,93,"0.132","76-100"
"4/22/17","Heatstroke","calvin harris",96,"EDM","0.735","110.124","0.786",2017,96,"0.747","76-100"
"4/15/17","Party Monster","the weeknd",16,"R&B","0.612","77.487","0.585",2017,98,"0.188","11 - 25"
"4/15/17","Everyday","ariana grande",55,"Pop","0.742","130.972","0.64",2017,94,"0.403","51-75"
"4/15/17","Get It Together","drake",45,"Rap","0.729","123.009","0.78",2017,68,"0.844","26-50"
"4/15/17","No Long Talk","drake",40,"Rap","0.627","97.076","0.919",2017,76,"0.52","26-50"
"4/15/17","KMT","drake",48,"Rap","0.623","119.983","0.872",2017,79,"0.0883","26-50"
"4/15/17","4422","drake",50,"Rap","0.247","111.974","0.621",2017,82,"0.221","26-50"
"4/15/17","Jorja Interlude","drake",49,"Rap","0.354","123.152","0.719",2017,83,"0.205","26-50"
"4/15/17","Madiba Riddim","drake",51,"Rap","0.527","105.86","0.834",2017,84,"0.319","51-75"
"4/15/17","Ice Melts","drake",62,"Rap","0.558","124.949","0.813",2017,85,"0.631","51-75"
"4/15/17","Do Not Disturb","drake",60,"Rap","0.69","171.029","0.787",2017,86,"0.465","51-75"
"4/15/17","Glow","drake",54,"Rap","0.385","162.039","0.669",2017,89,"0.391","51-75"
"4/15/17","Can't Have Everything","drake",82,"Rap","0.568","82.495","0.636",2017,97,"0.438","76-100"
"4/15/17","Nothings Into Somethings","drake",61,"Rap","0.227","96.912","0.76",2017,99,"0.279","51-75"
"4/1/17","Heathens","twenty one pilots",2,"Pop","0.396","90.024","0.732",2017,45,"0.548","1 - 10"
"4/1/17","Caroline","amine",11,"Rap","0.323","120.036","0.941",2017,49,"0.662","11 - 25"
"4/1/17","Black Beatles","rae sremmurd",1,"Rap","0.646","145.931","0.794",2017,40,"0.322","1 - 10"
"4/1/17","Better Man","little big town",34,"Country","0.76","143.991","0.524",2017,62,"0.437","26-50"
"4/1/17","Chantaje","shakira",51,"Pop","0.773","102.034","0.852",2017,97,"0.907","51-75"
"4/1/17","I Got You","bebe rexha",43,"EDM","0.889","97.988","0.606",2017,82,"0.337","26-50"
"4/1/17","Sober Saturday Night","chris young",47,"Country","0.672","139.864","0.477",2017,86,"0.263","26-50"
"4/1/17","Today","brad paisley",67,"Country","0.632","74.257","0.347",2017,89,"0.285","51-75"
"4/1/17","Comin Out Strong","future",48,"Rap","0.481","108.761","0.628",2017,96,"0.33","26-50"
"4/1/17","Dive","ed sheeran",49,"Pop","0.386","134.943","0.761",2017,85,"0.526","26-50"
"4/1/17","Happier","ed sheeran",59,"Pop","0.385","89.792","0.522",2017,94,"0.236","51-75"
"4/1/17","Regret In Your Tears","nicki minaj",61,"Rap","0.473","106.14","0.764",2017,61,"0.212","51-75"
"4/1/17","Changed It","nicki minaj",71,"Rap","0.628","143.946","0.802",2017,71,"0.644","51-75"
